name,latitude,longitude
Laleh Din,36.73184,53.44004
Basu,36.74713,53.49039
Shilat-e Amirabad,36.85,53.3
Chefteh Sar,36.8,53.16667
Chinam Dahaneh,36.8,53.15
Shilat-e Farahabad,36.8,53.11667
Kenar Darya,36.8,53.1
Emamzadeh Khalifeh,36.76067,53.08265
Jireh Sar,36.75,53.05
Kalmar,36.73333,53.05
Derazmir Kandeh,36.71667,53.06667
Marzud,36.69175,53.09469
Tameshk Kuti,36.70446,53.16825
Santeh,36.65,53.03333
Damir,36.61667,53.06667
Salar Kandeh,36.6,53.15
Danik,36.61667,53.05
Qoroq,36.59053,53.05488
Pendar Kheyl,36.58333,53.03333
Lagan Dasht,36.57513,53.01666
Talu Kola,36.5707,53.00883
Gallehdun,36.58333,53.08333
Shas Kandeh,36.56667,53.15
Chal Kiadeh,36.45,53.08333
Salim Sheykh,36.43973,53.10342
Setun Kola,36.43333,53.06667
Seyyed Abu Saleh,36.43615,53.0101
Rajeh,36.42567,52.89314
Rajeh Sar,36.41969,52.86878
Menan Kola,36.4,52.85
Pa'in Talar Posht,36.4175,52.8395
Siah Kola,36.44411,52.85026
Jamnan,36.45244,52.87492
Eskandar Kola,36.45249,52.83634
Abandan Sar,36.44923,52.86085
Taluk,36.45,52.91667
Anarak Tisi,36.45,52.96667
Bur Kheyl,36.48333,52.95
Bala Lamuk,36.49643,52.89888
Parchi Kola,36.49843,52.88891
Hardow Rud,36.48682,52.85595
Kuchak Sara,36.48005,52.85221
Khonar,36.49296,52.84842
Hajjiabad,36.51265,52.88055
Nakh Kola,36.51727,52.92749
Galleh Kola,36.49878,52.99371
Sangrizeh,36.51667,53.01667
Owjabandan,36.52852,52.88159
Jir Kola,36.53333,52.85
Nargesi Koti,36.56667,52.83333
Mian Deh,36.55736,52.8651
Laleh Zar Koti,36.55112,52.87334
Hajji Kola,36.57885,52.93058
Galleh Kola,36.61667,52.96667
Seraj Mahalleh-ye Baghu,36.61667,52.91667
Jamaz Kola,36.61667,52.95
Asafar Kheyl,36.59935,52.93632
`Ali Bon,36.56667,52.9
Esma`il Kola-ye Kuchek,36.59356,52.88208
Baghban Mahalleh,36.64028,52.89773
Tazehabad,36.54842,52.7889
Kelagar Mahalleh,36.64731,52.88642
Sur Kola,36.66667,52.93333
Mandi Mahalleh,36.66582,52.95024
Chahar Shanbeh Bazar,36.68333,52.95
Khuz Deh,36.7,52.93333
Bala Zarrin Kola,36.71038,52.97248
Zarrin Kola,36.72518,52.96301
`Arus Koti,36.75228,52.97854
Shilat Larim,36.76667,52.95
Tal Naz,36.7426,52.90173
Shilat Chikrud,36.73333,52.85
Bikar Ayesh,36.69257,52.876
Jorreh Sar,36.66994,52.85008
A`eyl Kola-ye Bozorg,36.64382,52.82665
Galesh Mahalleh,36.65271,52.88351
Galesh-e Bala,36.68333,52.78333
Bala Afra Takht,36.7,52.76667
Pa'in Afra Takht,36.7,52.78333
Shamsabad,36.66667,52.71667
Kherad Mard-e Reza'i,36.64419,52.70727
Yur Mahalleh,36.56946,52.94752
Bala Dasteh,36.59784,52.78452
Varimal,36.58333,52.83333
Talar Posht,36.564,52.798
Heydar Kola,36.55,52.7
Aker-e Sheykh Kola,36.55,52.76667
Sari,36.55,52.8
Kaliv Dasht,36.53333,52.78333
Owji Talar,36.5179,52.78642
Nakh Kola,36.52936,52.76355
Sang Koti-ye Pa'in,36.49246,52.79564
Afra Koti,36.48964,52.80833
Lak Pol,36.48258,52.80503
