name,latitude,longitude
Pā’īn Tālār Posht,36.4175,52.8395
Sīāh Kolā,36.44411,52.85026
Jamnān,36.45244,52.87492
Eskandar Kolā,36.45249,52.83634
Ābandān Sar,36.44923,52.86085
Talūk,36.45,52.91667
Anārak Tīsī,36.45,52.96667
Būr Kheyl,36.48333,52.95
Bālā Lamūk,36.49643,52.89888
Parchī Kolā,36.49843,52.88891
Hardow Rūd,36.48682,52.85595
Kūchak Sarā,36.48005,52.85221
Khonār,36.49296,52.84842
Ḩājjīābād,36.51265,52.88055
Nākh Kolā,36.51727,52.92749
Galleh Kolā,36.49878,52.99371
Sangrīzeh,36.51667,53.01667
Owjābandān,36.52852,52.88159
Jīr Kolā,36.53333,52.85
